Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647a77c9e28cb6a7ab7a6097,61592b5bb5f39ee9f3686afb,APPROVED,2023-06-02T23:14:19Z,2023-06-02T23:26:55Z,2023-06-04T13:10:27Z,2023-06-02T23:26:56Z,757,C6VEY6VR,422,39,Female,Asian,United States,United States,Philippines,English,No,Full-Time
647a782bd8ad72d5b32303db,5a6b7f02e6cc4a0001b6a591,APPROVED,2023-06-02T23:15:58Z,2023-06-02T23:31:57Z,2023-06-04T13:10:27Z,2023-06-02T23:31:58Z,959,C6VEY6VR,2083,54,Female,White,Canada,United States,United States,English,No,DATA_EXPIRED
647a783dca5d9c80b1e37fa4,60fcdd3be2ae9576df065728,APPROVED,2023-06-02T23:16:47Z,2023-06-02T23:33:05Z,2023-06-04T13:10:27Z,2023-06-02T23:33:05Z,978,C6VEY6VR,425,25,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
64de20185e8b25df726b1092,6429a8ce0c89d7ec42d57f7f,APPROVED,2023-08-17T13:27:28Z,2023-08-17T13:54:27Z,2023-08-17T17:32:31Z,2023-08-17T13:54:28Z,1619,C6VEY6VR,335,65,Male,Black,United States,United States,Nigeria,English,No,Full-Time
64de2113cd652869149668e6,640266a614e4080b6cf0deac,APPROVED,2023-08-17T13:31:09Z,2023-08-17T14:19:14Z,2023-08-17T17:32:32Z,2023-08-17T14:19:15Z,2885,C6VEY6VR,472,27,Male,Black,Nigeria,United States,DATA_EXPIRED,English,Yes,Part-Time
64de2267dee0585de2399f5a,63d81f3f9fb108f7012ed455,APPROVED,2023-08-17T13:36:47Z,2023-08-17T13:55:03Z,2023-08-17T17:32:32Z,2023-08-17T13:55:03Z,1096,C6VEY6VR,683,48,Male,White,United States,United States,United States,English,No,Full-Time
64de2308b261d23f2e45ac65,6428a9d34890ddbe5dd57fb0,APPROVED,2023-08-17T13:39:25Z,2023-08-17T13:53:59Z,2023-08-17T17:32:32Z,2023-08-17T13:53:59Z,874,C6VEY6VR,619,55,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64de24e65e903322e955b824,5f9b7861ba641d39dfde5fa3,APPROVED,2023-08-17T13:47:33Z,2023-08-17T14:08:25Z,2023-08-17T17:32:33Z,2023-08-17T14:08:26Z,1252,C6VEY6VR,637,33,Male,Black,United States,United States,United States,English,No,Other
64de25f27e60dacc618e7ff7,5e172ad9c2642a0345b911b7,APPROVED,2023-08-17T13:51:55Z,2023-08-17T14:09:49Z,2023-08-17T17:32:33Z,2023-08-17T14:09:50Z,1074,C6VEY6VR,1053,63,Male,White,United States,United States,United States,English,No,Full-Time
64de261c93556fea67b3c5d2,5b26ed8a8ecf3f0001619040,APPROVED,2023-08-17T13:52:31Z,2023-08-17T14:05:18Z,2023-08-17T17:32:33Z,2023-08-17T14:05:18Z,767,C6VEY6VR,1512,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de26a812545ae7d7332767,63d40e3588ba6ef2a3ce7c37,APPROVED,2023-08-17T13:54:51Z,2023-08-17T14:06:53Z,2023-08-17T17:32:33Z,2023-08-17T14:06:54Z,722,C6VEY6VR,649,42,Male,Mixed,United States,United States,United States,English,No,Full-Time
64de26f7ef7b2c4d6703b307,5bc8897f462bdb0001a61426,APPROVED,2023-08-17T13:56:11Z,2023-08-17T14:13:59Z,2023-08-17T17:32:33Z,2023-08-17T14:13:59Z,1068,C6VEY6VR,4490,41,Male,White,United States,United States,United States,English,No,Other
64de271299d688adfc156ab3,630a5d054a84587d32b7d526,APPROVED,2023-08-17T13:56:37Z,2023-08-17T14:06:22Z,2023-08-17T17:32:33Z,2023-08-17T14:06:32Z,585,C6VEY6VR,199,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64de271958d337a3ea7d9393,61001d9b2e3d8a75a09f3db3,APPROVED,2023-08-17T13:56:47Z,2023-08-17T14:13:47Z,2023-08-17T17:32:33Z,2023-08-17T14:13:50Z,1021,C6VEY6VR,2454,63,Male,White,United States,United States,United States,English,No,Full-Time
64de271acae73349069df63a,5de7d12c26dd95000b6824c5,APPROVED,2023-08-17T13:56:49Z,2023-08-17T14:15:28Z,2023-08-17T17:32:34Z,2023-08-17T14:15:28Z,1119,C6VEY6VR,1131,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
