"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
1,-41,47,6,0,9,-146,0,46,6,5
1,12,37,6,0,9,-146,0,36,4,4
1,-54,55,6,0,9,-146,0,54,6,6
1,19,37,6,0,9,-146,0,36,4,4
1,1,40,6,0,9,-146,0,39,7,4
1,28,28,6,0,9,-146,0,27,3,3
1,-2,40,6,0,9,-146,0,39,7,4
1,38,28,6,0,9,-146,0,27,3,3
1,-36,19,6,0,9,-146,0,18,2,2
1,-45,19,6,0,9,-146,0,18,2,2
1,-52,19,6,0,9,-146,0,18,2,2
1,-20,52,6,0,9,-146,0,51,3,6
1,26,60,6,0,9,-146,0,59,3,7
1,12,53,6,0,9,-146,0,52,4,6
1,-37,54,6,0,9,-146,0,53,5,6
1,-38,54,6,0,9,-146,0,53,5,6
1,-38,33,5,0,10,-14,0,32,0,4
1,-2,30,5,0,10,-14,0,29,5,3
1,58,36,5,0,10,-14,0,35,3,4
1,-43,23,5,0,10,-14,0,22,6,2
1,45,36,5,0,10,-14,0,35,3,4
1,46,14,5,0,10,-14,0,13,5,1
1,28,14,5,0,10,-14,0,13,5,1
1,-48,19,5,0,10,-14,0,18,2,2
1,20,22,5,0,10,-14,0,21,5,2
1,27,27,5,0,10,-14,0,26,2,3
1,37,21,5,0,10,-14,0,20,4,2
1,37,28,5,0,10,-14,0,27,3,3
1,21,22,5,0,10,-14,0,21,5,2
1,37,28,5,0,10,-14,0,27,3,3
1,36,28,5,0,10,-14,0,27,3,3
1,-21,39,5,0,10,-14,0,38,6,4
1,15,43,5,0,10,-14,0,42,2,5
1,-45,45,5,0,10,-14,0,44,4,5
1,-36,51,5,0,10,-14,0,50,2,6
1,-57,47,5,0,10,-14,0,46,6,5
1,-36,51,5,0,10,-14,0,50,2,6
1,-12,46,5,0,10,-14,0,45,5,5
1,-62,45,5,0,10,-14,0,44,4,5
1,5,38,5,0,10,-14,0,37,5,4
1,-26,45,5,0,10,-14,0,44,4,5
1,-27,36,6,1,11,3569,0,35,3,4
1,-7,36,6,1,11,3569,0,35,3,4
1,-8,36,6,1,11,3569,0,35,3,4
1,20,26,6,1,11,3569,0,25,1,3
1,52,28,6,1,11,3569,0,27,3,3
1,-19,29,6,1,11,3569,0,28,4,3
1,-8,29,6,1,11,3569,0,28,4,3
1,-3,21,6,1,11,3569,0,20,4,2
1,9,21,6,1,11,3569,0,20,4,2
1,258,20,6,1,11,3569,1,19,3,2
1,2,19,6,1,11,3569,0,18,2,2
1,254,20,6,1,11,3569,1,19,3,2
1,-2,19,6,1,11,3569,0,18,2,2
1,270,20,6,1,11,3569,1,19,3,2
1,255,20,6,1,11,3569,1,19,3,2
1,257,20,6,1,11,3569,1,19,3,2
1,244,20,6,1,11,3569,1,19,3,2
1,253,20,6,1,11,3569,1,19,3,2
1,258,20,6,1,11,3569,1,19,3,2
1,242,20,6,1,11,3569,1,19,3,2
1,245,20,6,1,11,3569,1,19,3,2
1,258,20,6,1,11,3569,1,19,3,2
