"playerNr","groupNr","subjectNr","period","check","prolificID","orderEnvs1","orderEnvs2","orderEnvs3","counter1","counter2","counter3","orderRounds","thisRound","treatment","gemPresent","socialInfo","points","refreshTaskCount","clickedCells","totalPoints","thisEnv","consent","rnd_decI","counterEnv1ng","qR1","qR2","qR3","newvar","goal","strategy","general","partA","remarks","age","gender","time_check","time_welcome","time_consent","time_i1","time_i2","time_i3","time_i4","time_i5","time_i6","time_i7","time_i8","time_i9","time_i10","time_iend","time_quiz","time_play.(old)","time_play","time_break","time_Questionnaire","time_end","time_376482"
3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,NA,1,"31,27,38,14,9,41,41,41,41,62,58,9,9,9,9,9,9,9,9,9,9,9,9,9,9","0,36,28,7,-37,44,12,-30,-36,40,71,44,65,34,31,43,54,44,33,25,37,37,37,72,40",NA,"27,23,13,39,28,10,44,42,54,10,10,10,10,10,10,10,10,10,10,10,23,23,23,10,10",731,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,NA,1,"6,54,46,45,28,28,28,51,28,28,25,41,35,34,42,42,42,42,28,28,28,28,28,42,42","-2,63,27,65,49,48,58,33,59,47,49,44,35,35,14,49,53,74,58,28,30,53,75,63,47",NA,"30,42,42,42,42,42,42,42,42,42,28,28,10,10,53,42,42,42,42,42,42,42,42,42,42",1154,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,1,"27,27,27,27,27,27,27,27,27,27,22,30,46,46,22,45,45,45,45,45,45,45,45,45,45","49,24,13,-20,-59,-13,36,37,-25,20,68,58,54,47,58,58,57,33,45,36,46,41,45,59,44",NA,"23,50,17,38,28,55,59,11,13,34,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23",811,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,NA,1,"11,34,54,44,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20","9,22,-23,-54,-16,22,28,259,249,256,252,271,247,249,244,270,248,266,269,262,271,242,244,245,263",NA,"32,35,10,52,15,23,23,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21",4595,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,NA,1,"63,63,22,22,44,35,58,54,54,54,54,54,37,38,38,38,38,38,38,48,20,19,27,27,27","2,-2,37,1,12,-6,-20,24,-13,-2,34,34,36,-24,-22,65,37,45,47,44,56,49,64,36,64",NA,"30,43,63,18,22,44,20,49,25,24,54,54,63,48,37,38,38,38,38,38,38,38,38,38,38",598,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,1,"28,14,10,10,10,10,10,10,53,30,43,26,26,12,63,63,63,63,63,63,63,63,63,63,63","-4,-10,45,56,41,64,49,59,38,54,57,48,51,41,58,48,60,50,50,49,57,40,43,51,59",NA,"22,35,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,64,64,64,11,11,11,11,11",1154,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,0,"31,29,44,44,44,44,47,47,6,19,19,19,19,44,44,44,44,44,44,44,44,44,44,44,44","36,-25,-6,23,34,50,37,39,5,38,33,43,26,14,-53,39,39,42,44,47,62,40,60,47,43",NA,"39,18,51,36,45,45,39,45,48,45,13,13,13,20,23,45,45,39,39,39,39,39,39,39,39",757,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,0,"36,35,34,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","51,50,9,-74,56,25,24,61,27,49,54,64,35,28,49,51,51,-43,-28,-11,34,25,52,48,49",NA,"49,49,9,55,23,23,23,12,12,12,12,12,12,12,49,49,49,35,61,29,16,8,49,49,49",736,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,0,1,"esuoh",0,NA,NA,NA,NA,NA,NA,"1599,1639,335,376,1899,1650,1434,905,838,1177,921,343",1599,0,0,"22,35,45,19,15,50,51,43,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","-21,-58,23,20,35,-26,-7,-52,-45,43,-20,-27,58,14,46,21,8,-20,-46,-8,-49,13,-25,30,19",0,"26,23,36,46,20,16,51,52,44,35,26,32,35,42,60,63,48,38,14,10,57,5,15,47,64",-74,3,0,7,0,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,13,8,23,24,20,9,13,10,3,18,10,17,12,14,34,NA,NA,NA,NA,NA,NA
4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,NA,1,"16,41,5,9,9,9,9,9,9,16,16,16,16,16,16,45,20,1,7,16,16,39,60,35,16","-32,35,33,41,57,35,-14,-52,-21,-20,6,52,-25,-8,-54,-70,19,-1,23,-21,-34,50,47,-45,30",NA,"1,10,19,28,37,46,55,64,8,15,22,29,36,43,50,57,53,45,20,2,7,16,24,32,31",31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
