playerNr,groupNr,subjectNr,period,check,prolificID,orderEnvs1,orderEnvs2,orderEnvs3,counter1,counter2,counter3,orderRounds,thisRound,treatment,gemPresent,socialInfo,points,refreshTaskCount,clickedCells,totalPoints,thisEnv,consent,rnd_decI,counterEnv1ng,qR1,qR2,qR3,newvar,strategy,general,age,gender,time_check,time_welcome,time_consent,time_i1,time_i2,time_i3,time_i4,time_i5,time_i6,time_i7,time_i8,time_i9,time_i10,time_iend,time_quiz,time_play.(old),time_play,time_break,time_Questionnaire,time_end,time_376482
22,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,1,"28,14,10,10,10,10,10,10,53,30,43,26,26,12,63,63,63,63,63,63,63,63,63,63,63","-41,-34,-37,5,30,25,-21,-31,10,39,73,35,62,38,29,65,42,30,46,75,36,59,54,58,54",NA,"37,10,31,42,45,45,57,13,20,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27",701,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,1,"27,27,27,27,27,27,27,27,27,27,22,30,46,46,22,45,45,45,45,45,45,45,45,45,45","35,16,-36,7,-37,21,20,34,35,31,40,36,50,34,35,32,35,30,43,-20,-43,-23,-49,2,45",NA,"20,29,28,44,45,34,17,1,1,8,8,1,8,1,1,8,8,8,8,38,13,10,42,54,8",373,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0,0,1,esuoh,0,NA,NA,NA,NA,NA,NA,"1434,343,1599,1650,838,1899,1912,905,1244,376,1639,921",1434,0,1,"17,59,39,28,22,6,2,34,41,55,55,55,55,55,55,55,52,52,52,52,52,52,52,52,52","-35,-33,-23,32,-54,-35,7,6,-35,-21,7,50,-4,-13,31,30,38,49,49,51,51,50,50,49,43",0,"36,18,15,29,38,21,42,57,1,8,42,64,61,52,56,56,56,53,53,53,53,53,53,53,32",340,5,0,6,0,3,2,2,2,NA,NA,NA,NA,22,8,14,30,24,14,19,27,16,3,14,18,13,69,69,NA,NA,NA,NA,NA,NA
23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,NA,1,"28,64,40,41,13,8,40,40,40,40,40,40,25,51,44,58,57,57,57,57,57,57,57,57,58","-26,47,16,55,-52,-21,244,-51,-14,-29,-48,23,28,28,-20,-36,51,67,-2,22,36,29,9,243,270",NA,"9,32,36,41,42,14,46,52,18,30,4,64,57,8,27,45,56,40,48,34,20,23,61,58,58",869,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599,NA,0,"22,35,45,19,15,50,51,43,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","22,-23,-51,23,23,-36,-29,0,-21,-1,-20,52,17,23,35,-8,7,-34,39,39,40,51,43,40,47",NA,"1,10,23,36,46,16,42,62,44,59,26,39,46,36,56,61,20,30,39,39,35,35,35,35,35",278,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,1,"22,35,37,52,19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","45,-27,6,14,-13,-41,-48,4,-5,14,7,29,71,29,45,26,61,50,49,49,51,-10,54,-59,31",NA,"39,26,23,36,38,53,20,15,13,34,51,55,39,39,39,39,39,35,35,35,35,30,10,50,54",432,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,0,"30,30,30,30,30,30,30,44,44,44,44,44,44,44,55,18,18,18,18,18,18,18,18,18,18","7,28,11,-6,-24,-23,22,-35,0,51,50,50,50,52,51,48,50,51,50,51,51,50,50,44,-3",NA,"39,18,50,64,8,1,57,37,23,45,45,45,45,45,45,45,45,45,45,45,45,45,45,19,19",726,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,NA,0,"8,57,64,1,37,36,28,29,43,44,35,52,45,45,45,48,31,31,36,36,36,36,36,36,36","7,-7,11,20,26,36,52,35,41,14,-43,50,37,20,28,-22,0,-2,71,57,60,18,-43,-73,60",NA,"47,26,13,1,8,44,18,22,37,50,54,37,32,4,61,59,41,49,32,37,37,28,30,35,37",453,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,NA,1,"45,54,46,47,48,55,39,38,30,37,53,61,52,60,60,60,60,60,60,60,60,60,60,60,60","41,12,27,5,18,1,-28,-5,43,18,2,-39,-60,44,12,12,27,48,32,253,263,254,265,242,270",NA,"16,17,45,54,47,46,55,39,38,45,46,35,22,38,38,38,12,26,50,60,60,60,60,60,60",1757,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
23,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,NA,1,"37,37,34,34,34,34,34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20","-4,22,5,21,22,20,21,20,247,248,245,263,246,244,272,267,252,264,250,258,271,262,272,254,256",NA,"53,35,38,35,35,35,35,35,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21",4498,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,NA,1,"27,4,39,49,49,49,49,49,49,49,49,49,14,17,53,7,53,53,53,49,49,49,49,49,49","30,12,23,22,32,39,47,41,25,41,28,-7,-34,52,62,42,28,35,49,38,36,41,35,29,4",NA,"31,27,4,39,49,49,49,49,49,49,49,44,29,15,15,15,15,15,53,53,49,49,49,49,18",750,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,NA,1,"30,30,30,30,30,30,28,19,19,19,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36","30,38,-51,-44,27,16,46,-22,9,6,25,5,4,52,52,52,51,50,51,48,51,50,49,50,51",NA,"49,31,8,1,10,19,31,29,46,52,20,20,20,37,37,37,37,37,37,37,37,37,37,37,37",696,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,NA,1,"16,41,5,9,9,9,9,9,9,16,16,16,16,16,16,45,20,1,7,16,16,39,60,35,16","-36,-32,50,-13,-44,40,43,36,42,26,50,48,51,-50,45,38,-22,50,31,16,51,51,39,53,42",NA,"49,36,16,41,5,9,9,9,9,9,16,16,16,64,19,19,45,16,19,30,16,16,39,12,12",605,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
