playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_379596ready,wait_376393ready,wait_376483ready,wait_376394ready,wait_376395ready,wait_376396ready,wait_376397ready,wait_376398ready,wait_376399ready,wait_376400ready,wait_376401ready,wait_376455ready,wait_376468ready,wait_376402ready,wait_379597ready,wait_376540ready,wait_379440ready,wait_376405ready,wait_379831ready,wait_376406ready,wait_376482ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
84,0,0,0,0,12,end,NA,1694711350,1694711367,1d29745c54f94acab6419c0f5c0421a7,45.26.149.,29.5738#-98.2292,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
85,0,0,0,0,12,end,NA,1694710927,1694710937,1e77069bbb6f261c372ac4ccd748b5cf,173.73.233,38.9034#-76.9882,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
86,0,0,0,0,12,end,NA,1694711057,1694711065,682be88e19269b7d67046cf14e21f4f3,108.203.22,30.5436#-89.6896,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
87,0,0,0,0,12,end,NA,1694710894,1694710901,8970745611847448be53bb7a81b6e664,67.158.21.,44.1415#-103.2052,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
88,0,0,0,0,12,end,NA,1694710977,1694710988,491fc08f513656b53b8b0d8e3cefe04a,66.68.45.1,30.3773#-97.71,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
89,0,0,0,0,12,end,NA,1694710883,1694710891,ad87fedd24a2e998c36dd8c521594496,71.209.179,33.6276#-112.0511,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
90,0,0,0,0,12,end,NA,1694710783,1694710788,1d313593c3fd7c6107e763660d1a27f4,69.14.191.,42.4723#-82.9967,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
91,0,0,0,0,12,end,NA,1694711341,1694711355,b6b55103b1d44d240a4c56594fe73606,76.230.242,34.1452#-118.4581,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
92,0,0,0,0,12,end,NA,1694711214,1694711227,273859fdd67d89184d176e49e3e6daf2,98.100.66.,41.0799#-80.6392,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
93,0,0,0,0,12,end,NA,1694711404,1694711412,c298000ec2dc9066b573ddf85510c205,24.119.108,34.5926#-112.4238,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
94,0,0,0,0,12,end,NA,1694712089,1694712185,1da6f51dd23a03b13ce3277a70e83a59,172.59.113,35.5999#-97.6243,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
95,0,0,0,0,12,end,NA,1694712888,1694713677,7cbfdd32d32d3d540863ec217b93552b,186.14.59.,8#-66,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
96,0,0,0,0,12,end,NA,1694712997,1694713055,42fece7626a04d2530b1882bbc151cdf,136.181.19,42.2532#-84.3877,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
97,0,0,0,0,12,end,NA,1694711642,1694711655,5f59f888a607e3c15ce188e1c3779eeb,104.202.13,30.0409#-95.5302,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
98,0,0,0,0,12,end,NA,1694711715,1694711722,28b67d5bb2ed597c8f57680ce6fba0fe,64.188.159,41.4318#-78.5494,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
99,0,0,0,0,12,end,NA,1694711794,1694711803,a5fbed1f898c620fdb1befd9732ad4de,108.82.203,35.4875#-80.9876,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
100,0,0,0,0,1,consent,NA,1694710901,1694711079,b0e48bc961c5ac4f1f2e79e0610f189f,50.96.224.,43.3068#-76.1857,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
101,0,0,0,0,12,end,NA,1694712261,1694712269,3d37e1f4ce8facb03382603ea059c05b,67.0.52.31,35.2485#-106.6818,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
102,0,0,0,0,12,end,NA,1694712155,1694712187,27451e30e3b276d7af7628c81923053f,71.214.41.,28.7739#-81.6463,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
103,0,0,0,0,12,end,NA,1694712517,1694712524,7b7a3f38b490d2c7a7d53b9762e67956,173.2.250.,41.0641#-73.548,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
104,0,0,0,0,12,end,NA,1694711877,1694711887,da9ca106650cf5929acc93ef4565cb80,72.193.236,36.1172#-115.0528,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
105,0,0,0,0,12,end,NA,1694711692,1694711699,e82c7536f2f5f8f4c87e59eba1d7ea6b,74.123.127,38.9034#-76.9882,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
106,0,0,0,0,12,end,NA,1694712138,1694712159,5fdf1c41633036c57b41103489db75c1,73.104.27.,30.3958#-81.6893,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
107,0,0,0,0,12,end,NA,1694712159,1694712182,204be0ad3c69ab8d5f25d9069464e543,50.91.59.1,35.3878#-118.936,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
108,0,0,0,0,2,play,NA,1694711611,1694960862,c9141d1b81de6017a455f2ac42af5147,107.127.53,36.1671#-86.7861,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
109,0,0,0,0,12,end,NA,1694714679,1694714739,661178838eb85d91f63bf54222111b90,96.84.48.7,26.1374#-80.1684,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
110,0,0,0,0,12,end,NA,1694713285,1694713307,def4499a155675a96c372905b67fb3fb,107.221.22,38.0086#-87.5746,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
111,0,0,0,0,12,end,NA,1694712353,1694712366,7dfdf6c77bf35986b9c6f3c0e795ab12,69.248.174,39.8013#-75.0031,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
112,0,0,0,0,12,end,NA,1694712301,1694712312,808a008d2d081a70e3c84e0eed302f61,104.51.55.,37.7558#-121.9527,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
113,0,0,0,0,12,end,NA,1694712320,1694712328,995bd0bff910b6ac79b747a4e1098831,169.239.20,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
114,0,0,0,0,12,end,NA,1694712565,1694712568,998f75110e6b3210ae1e45108441a553,69.61.205.,39.5107#-84.7427,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
115,0,0,0,0,12,end,NA,1694712701,1694712704,8a24133921eb050e9f5eddcb324d510d,64.121.70.,40.6543#-75.5034,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
116,0,0,0,0,12,end,NA,1694713233,1694713241,d313c566cf353bdfc710e043918fd757,65.130.176,40.5581#-111.9222,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
