playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_379596ready,wait_376393ready,wait_376483ready,wait_376394ready,wait_376395ready,wait_376396ready,wait_376397ready,wait_376398ready,wait_376399ready,wait_376400ready,wait_376401ready,wait_376455ready,wait_376468ready,wait_376402ready,wait_379597ready,wait_376540ready,wait_379440ready,wait_376405ready,wait_379831ready,wait_376406ready,wait_376482ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
18,0,0,0,0,12,end,NA,1692281372,1692281380,1559865d59c6547b512b5d1a3061d425,173.184.11,31.3208#-95.3928,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19,0,0,0,0,12,end,NA,1692281700,1692281711,eb7a909e968507b15069aaa763478542,174.106.10,34.9541#-78.7395,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
20,0,0,0,0,12,end,NA,1692281109,1692281112,1b35b98f669af3749054aaf52dd2ba61,75.97.178.,41.0106#-76.4442,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
21,0,0,0,0,12,end,NA,1692281073,1692281080,9ce1faf6df3be276bc095f1e0911f7e8,35.145.129,28.8446#-82.0376,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
22,0,0,0,0,12,end,NA,1692281187,1692281198,1b040f034f60f9ca77983e76a7a03d1c,73.123.111,43.011#-71.4571,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
23,0,0,0,0,12,end,NA,1692281541,1692281552,93aeda71d30faab0bbb202200c6b8b95,74.77.245.,42.3978#-79.4334,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
24,0,0,0,0,1,check,NA,1692280410,1692280415,3c1b655a5ac228871be2de1fbb77815e,208.66.246,36.8484#-88.6814,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
25,0,0,0,0,12,end,NA,1692281237,1692281250,dc644c8afae8e72319b7e17dba196e85,12.231.156,42.4943#-83.2072,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
26,0,0,0,0,12,end,NA,1692281754,1692281768,34c06c1170155e4b586676aa80dd56d0,47.220.214,30.3217#-95.5285,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
27,0,0,0,0,1,check,NA,1692280500,1692280504,3a684ba3d6e5072dafdbb6c15bacac53,63.88.73.6,39.9206#-75.1826,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
28,0,0,0,0,12,end,NA,1692281200,1692281208,1dcd3ba2392fa54529397b248076da3a,76.224.17.,38.1025#-122.2132,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
29,0,0,0,0,12,end,NA,1692281624,1692281632,0cdd459e14302396a73652d4a04859d4,47.133.66.,36.8536#-76.469,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
30,0,0,0,0,12,end,NA,1692281166,1692281179,60dbecfb55216b56e4434a1b7d6729f2,69.127.116,40.871#-73.051,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
