"player","points","cells","env_number","gempresent","round","tot_points","gem","trial","unique_rounds","round_id","cell","x","y","round_gem_found","performance_group_f","performance_group"
85,56,36,5,0,5,748,0,24,1013,1013,35,3,4,NA,NA,NA
85,52,20,5,0,5,748,0,25,1013,1013,19,3,2,NA,NA,NA
85,-16,20,2,0,6,1119,0,1,1014,1014,19,3,2,NA,NA,NA
85,-39,36,2,0,6,1119,0,2,1014,1014,35,3,4,NA,NA,NA
85,21,38,2,0,6,1119,0,3,1014,1014,37,5,4,NA,NA,NA
85,61,6,2,0,6,1119,0,4,1014,1014,5,5,0,NA,NA,NA
85,58,6,2,0,6,1119,0,5,1014,1014,5,5,0,NA,NA,NA
85,61,6,2,0,6,1119,0,6,1014,1014,5,5,0,NA,NA,NA
85,62,6,2,0,6,1119,0,7,1014,1014,5,5,0,NA,NA,NA
85,39,6,2,0,6,1119,0,8,1014,1014,5,5,0,NA,NA,NA
85,60,6,2,0,6,1119,0,9,1014,1014,5,5,0,NA,NA,NA
85,65,6,2,0,6,1119,0,10,1014,1014,5,5,0,NA,NA,NA
85,39,6,2,0,6,1119,0,11,1014,1014,5,5,0,NA,NA,NA
85,64,6,2,0,6,1119,0,12,1014,1014,5,5,0,NA,NA,NA
85,37,6,2,0,6,1119,0,13,1014,1014,5,5,0,NA,NA,NA
85,52,6,2,0,6,1119,0,14,1014,1014,5,5,0,NA,NA,NA
85,48,6,2,0,6,1119,0,15,1014,1014,5,5,0,NA,NA,NA
85,55,6,2,0,6,1119,0,16,1014,1014,5,5,0,NA,NA,NA
85,42,6,2,0,6,1119,0,17,1014,1014,5,5,0,NA,NA,NA
85,53,6,2,0,6,1119,0,18,1014,1014,5,5,0,NA,NA,NA
85,43,6,2,0,6,1119,0,19,1014,1014,5,5,0,NA,NA,NA
85,61,6,2,0,6,1119,0,20,1014,1014,5,5,0,NA,NA,NA
85,41,6,2,0,6,1119,0,21,1014,1014,5,5,0,NA,NA,NA
85,56,6,2,0,6,1119,0,22,1014,1014,5,5,0,NA,NA,NA
85,56,6,2,0,6,1119,0,23,1014,1014,5,5,0,NA,NA,NA
85,43,6,2,0,6,1119,0,24,1014,1014,5,5,0,NA,NA,NA
85,57,6,2,0,6,1119,0,25,1014,1014,5,5,0,NA,NA,NA
85,2,57,2,1,7,467,0,1,1015,1015,56,0,7,NA,NA,NA
85,-70,45,2,1,7,467,0,2,1015,1015,44,4,5,NA,NA,NA
85,-50,19,2,1,7,467,0,3,1015,1015,18,2,2,NA,NA,NA
85,11,30,2,1,7,467,0,4,1015,1015,29,5,3,NA,NA,NA
85,-2,30,2,1,7,467,0,5,1015,1015,29,5,3,NA,NA,NA
85,12,30,2,1,7,467,0,6,1015,1015,29,5,3,NA,NA,NA
85,16,30,2,1,7,467,0,7,1015,1015,29,5,3,NA,NA,NA
85,2,30,2,1,7,467,0,8,1015,1015,29,5,3,NA,NA,NA
85,23,10,2,1,7,467,0,9,1015,1015,9,1,1,NA,NA,NA
85,22,10,2,1,7,467,0,10,1015,1015,9,1,1,NA,NA,NA
85,20,10,2,1,7,467,0,11,1015,1015,9,1,1,NA,NA,NA
85,21,10,2,1,7,467,0,12,1015,1015,9,1,1,NA,NA,NA
85,22,10,2,1,7,467,0,13,1015,1015,9,1,1,NA,NA,NA
85,36,48,2,1,7,467,0,14,1015,1015,47,7,5,NA,NA,NA
85,60,48,2,1,7,467,0,15,1015,1015,47,7,5,NA,NA,NA
85,63,48,2,1,7,467,0,16,1015,1015,47,7,5,NA,NA,NA
85,49,48,2,1,7,467,0,17,1015,1015,47,7,5,NA,NA,NA
85,43,48,2,1,7,467,0,18,1015,1015,47,7,5,NA,NA,NA
85,59,48,2,1,7,467,0,19,1015,1015,47,7,5,NA,NA,NA
85,64,48,2,1,7,467,0,20,1015,1015,47,7,5,NA,NA,NA
85,47,48,2,1,7,467,0,21,1015,1015,47,7,5,NA,NA,NA
85,35,48,2,1,7,467,0,22,1015,1015,47,7,5,NA,NA,NA
85,0,64,2,1,7,467,0,23,1015,1015,63,7,7,NA,NA,NA
85,-36,8,2,1,7,467,0,24,1015,1015,7,7,0,NA,NA,NA
85,18,35,2,1,7,467,0,25,1015,1015,34,2,4,NA,NA,NA
85,-33,41,4,1,8,594,0,1,1016,1016,40,0,5,NA,NA,NA
85,-22,28,4,1,8,594,0,2,1016,1016,27,3,3,NA,NA,NA
85,-7,37,4,1,8,594,0,3,1016,1016,36,4,4,NA,NA,NA
85,-52,44,4,1,8,594,0,4,1016,1016,43,3,5,NA,NA,NA
85,18,43,4,1,8,594,0,5,1016,1016,42,2,5,NA,NA,NA
85,-43,26,4,1,8,594,0,6,1016,1016,25,1,3,NA,NA,NA
85,42,30,4,1,8,594,0,7,1016,1016,29,5,3,NA,NA,NA
85,49,30,4,1,8,594,0,8,1016,1016,29,5,3,NA,NA,NA
85,46,30,4,1,8,594,0,9,1016,1016,29,5,3,NA,NA,NA
85,26,30,4,1,8,594,0,10,1016,1016,29,5,3,NA,NA,NA
85,45,30,4,1,8,594,0,11,1016,1016,29,5,3,NA,NA,NA
85,48,30,4,1,8,594,0,12,1016,1016,29,5,3,NA,NA,NA
85,30,30,4,1,8,594,0,13,1016,1016,29,5,3,NA,NA,NA
85,30,30,4,1,8,594,0,14,1016,1016,29,5,3,NA,NA,NA
85,36,30,4,1,8,594,0,15,1016,1016,29,5,3,NA,NA,NA
85,35,30,4,1,8,594,0,16,1016,1016,29,5,3,NA,NA,NA
85,49,30,4,1,8,594,0,17,1016,1016,29,5,3,NA,NA,NA
85,25,30,4,1,8,594,0,18,1016,1016,29,5,3,NA,NA,NA
85,50,30,4,1,8,594,0,19,1016,1016,29,5,3,NA,NA,NA
85,47,30,4,1,8,594,0,20,1016,1016,29,5,3,NA,NA,NA
